"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 15 13:38:31 GMT 2021","Fri Oct 15 13:38:35 GMT 2021","3918","","api tests suite","","io.farel.interview.ApiTest","test01","call factorial endpoint with number 0",""
"passed","Fri Oct 15 13:38:31 GMT 2021","Fri Oct 15 13:38:50 GMT 2021","18895","","ui tests suite","","io.farel.interview.UiTest","test01","[2] firefox",""
"passed","Fri Oct 15 13:38:31 GMT 2021","Fri Oct 15 13:38:35 GMT 2021","3936","","api tests suite","","io.farel.interview.ApiTest","test01","call factorial endpoint with number 1",""
"passed","Fri Oct 15 13:38:31 GMT 2021","Fri Oct 15 13:38:50 GMT 2021","18812","","ui tests suite","","io.farel.interview.UiTest","test02","factorial for number 171 is The factorial of 171 is: Infinity",""
"passed","Fri Oct 15 13:38:31 GMT 2021","Fri Oct 15 13:38:35 GMT 2021","3390","","api tests suite","","io.farel.interview.ApiTest","test02","call factorial endpoint with number -10",""
"passed","Fri Oct 15 13:38:31 GMT 2021","Fri Oct 15 13:38:35 GMT 2021","3935","","api tests suite","","io.farel.interview.ApiTest","test01","call factorial endpoint with number 12",""
"passed","Fri Oct 15 13:38:35 GMT 2021","Fri Oct 15 13:38:50 GMT 2021","14825","","ui tests suite","","io.farel.interview.UiTest","test02","factorial for number 170 is The factorial of 170 is: 7.257415615307999e+306",""
"passed","Fri Oct 15 13:38:31 GMT 2021","Fri Oct 15 13:38:50 GMT 2021","18768","","ui tests suite","","io.farel.interview.UiTest","test02","factorial for number 3 4 is Please enter an integer",""
"passed","Fri Oct 15 13:38:31 GMT 2021","Fri Oct 15 13:38:50 GMT 2021","18876","","ui tests suite","","io.farel.interview.UiTest","test01","[1] chrome",""
"passed","Fri Oct 15 13:38:31 GMT 2021","Fri Oct 15 13:38:35 GMT 2021","3354","","api tests suite","","io.farel.interview.ApiTest","test02","call factorial endpoint with number 979",""
